original_Location Name,original_Street Address,original_Episode,lat,lon,formatted,name,housenumber,suburb,street,postcode,district,city,county,state,state_code,country,country_code
Green Grove,"103 Pleasant Valley Way, West Orange, NJ 07052",8,40.82089436,-74.25283885,"103 Pleasant Valley Way, West Orange, NJ 07052, United States of America",,103,,Pleasant Valley Way,7052,,West Orange,Essex County,New Jersey,NJ,United States,us
Church,"St. Rita's Roman Catholic Church, Long Island City, NY",8,40.760621,-73.939485,"Saint Rita's Roman Catholic Church, New York, NY, United States of America",,,Long Island City,Saint Rita's Roman Catholic Church,,Queens,New York,Queens County,New York,NY,United States,us
Soccer Field,"600 Bloomfield Ave, Verona, NJ 07044",9,40.833095,-74.245706,"600 Bloomfield Avenue, Verona, NJ 07044, United States of America",,600,,Bloomfield Avenue,7044,Verona Township,Verona,Essex County,New Jersey,NJ,United States,us
The Bada Bing,"230 NJ-17, Lodi, NJ 07644",9,40.881841,-74.066683,"230 Nj-17, Lodi, NJ 07644, United States of America",,230,,Nj-17,7644,Lodi,Lodi,Bergen County,New Jersey,NJ,United States,us
Green Grove,"103 Pleasant Valley Way, West Orange, NJ 07052",9,40.82089436,-74.25283885,"103 Pleasant Valley Way, West Orange, NJ 07052, United States of America",,103,,Pleasant Valley Way,7052,,West Orange,Essex County,New Jersey,NJ,United States,us
Soccer Field,"600 Bloomfield Ave, Verona, NJ 07044",9,40.833095,-74.245706,"600 Bloomfield Avenue, Verona, NJ 07044, United States of America",,600,,Bloomfield Avenue,7044,Verona Township,Verona,Essex County,New Jersey,NJ,United States,us
Soprano House,"14 Aspen Dr, Caldwell, NJ 07006",9,40.867817,-74.246482,"14 Aspen Drive, North Caldwell, NJ 07006, United States of America",,14,,Aspen Drive,7006,,North Caldwell,Essex County,New Jersey,NJ,United States,us
The Bada Bing,"230 NJ-17, Lodi, NJ 07644",9,40.881841,-74.066683,"230 Nj-17, Lodi, NJ 07644, United States of America",,230,,Nj-17,7644,Lodi,Lodi,Bergen County,New Jersey,NJ,United States,us
Soprano House,"14 Aspen Dr, Caldwell, NJ 07006",9,40.867817,-74.246482,"14 Aspen Drive, North Caldwell, NJ 07006, United States of America",,14,,Aspen Drive,7006,,North Caldwell,Essex County,New Jersey,NJ,United States,us
Soprano House,"14 Aspen Dr, Caldwell, NJ 07006",10,40.867817,-74.246482,"14 Aspen Drive, North Caldwell, NJ 07006, United States of America",,14,,Aspen Drive,7006,,North Caldwell,Essex County,New Jersey,NJ,United States,us
Cusamano House,"3 Vale Pl Caldwell, NJ 07006",10,40.86775686,-74.2464552,"3 Vale Place, North Caldwell, NJ 07006, United States of America",,3,,Vale Place,7006,,North Caldwell,Essex County,New Jersey,NJ,United States,us
Soprano House,"14 Aspen Dr, Caldwell, NJ 07006",10,40.867817,-74.246482,"14 Aspen Drive, North Caldwell, NJ 07006, United States of America",,14,,Aspen Drive,7006,,North Caldwell,Essex County,New Jersey,NJ,United States,us
Cusamano House,"3 Vale Pl Caldwell, NJ 07006",10,40.86775686,-74.2464552,"3 Vale Place, North Caldwell, NJ 07006, United States of America",,3,,Vale Place,7006,,North Caldwell,Essex County,New Jersey,NJ,United States,us
Soprano House,"14 Aspen Dr, Caldwell, NJ 07006",10,40.867817,-74.246482,"14 Aspen Drive, North Caldwell, NJ 07006, United States of America",,14,,Aspen Drive,7006,,North Caldwell,Essex County,New Jersey,NJ,United States,us
Cusamano House,"3 Vale Pl Caldwell, NJ 07006",10,40.86775686,-74.2464552,"3 Vale Place, North Caldwell, NJ 07006, United States of America",,3,,Vale Place,7006,,North Caldwell,Essex County,New Jersey,NJ,United States,us
The Bada Bing,"230 NJ-17, Lodi, NJ 07644",11,40.881841,-74.066683,"230 Nj-17, Lodi, NJ 07644, United States of America",,230,,Nj-17,7644,Lodi,Lodi,Bergen County,New Jersey,NJ,United States,us
Green Grove,"103 Pleasant Valley Way, West Orange, NJ 07052",11,40.82089436,-74.25283885,"103 Pleasant Valley Way, West Orange, NJ 07052, United States of America",,103,,Pleasant Valley Way,7052,,West Orange,Essex County,New Jersey,NJ,United States,us
The Bada Bing,"230 NJ-17, Lodi, NJ 07644",11,40.881841,-74.066683,"230 Nj-17, Lodi, NJ 07644, United States of America",,230,,Nj-17,7644,Lodi,Lodi,Bergen County,New Jersey,NJ,United States,us
Green Grove,"103 Pleasant Valley Way, West Orange, NJ 07052",11,40.82089436,-74.25283885,"103 Pleasant Valley Way, West Orange, NJ 07052, United States of America",,103,,Pleasant Valley Way,7052,,West Orange,Essex County,New Jersey,NJ,United States,us
Satriale's,"101 Kearny Avenue, Kearny, NJ 07032",11,40.755731,-74.155322,"101 Kearny Avenue, Kearny, NJ 07032, United States of America",,101,,Kearny Avenue,7032,,Kearny,Hudson County,New Jersey,NJ,United States,us
The Bada Bing,"230 NJ-17, Lodi, NJ 07644",11,40.881841,-74.066683,"230 Nj-17, Lodi, NJ 07644, United States of America",,230,,Nj-17,7644,Lodi,Lodi,Bergen County,New Jersey,NJ,United States,us
Soprano House,"14 Aspen Dr, Caldwell, NJ 07006",11,40.867817,-74.246482,"14 Aspen Drive, North Caldwell, NJ 07006, United States of America",,14,,Aspen Drive,7006,,North Caldwell,Essex County,New Jersey,NJ,United States,us
The Bada Bing,"230 NJ-17, Lodi, NJ 07644",11,40.881841,-74.066683,"230 Nj-17, Lodi, NJ 07644, United States of America",,230,,Nj-17,7644,Lodi,Lodi,Bergen County,New Jersey,NJ,United States,us
Green Grove,"103 Pleasant Valley Way, West Orange, NJ 07052",11,40.82089436,-74.25283885,"103 Pleasant Valley Way, West Orange, NJ 07052, United States of America",,103,,Pleasant Valley Way,7052,,West Orange,Essex County,New Jersey,NJ,United States,us
Satriale's,"101 Kearny Avenue, Kearny, NJ 07032",11,40.755731,-74.155322,"101 Kearny Avenue, Kearny, NJ 07032, United States of America",,101,,Kearny Avenue,7032,,Kearny,Hudson County,New Jersey,NJ,United States,us
Funeral Home,"276 Washington Ave, Belleville, NJ 07109",12,40.790362,-74.151394,"276 Washington Avenue, Belleville, NJ 07109, United States of America",,276,,Washington Avenue,7109,Belleville Township,Belleville,Essex County,New Jersey,NJ,United States,us
The Bada Bing,"230 NJ-17, Lodi, NJ 07644",12,40.881841,-74.066683,"230 Nj-17, Lodi, NJ 07644, United States of America",,230,,Nj-17,7644,Lodi,Lodi,Bergen County,New Jersey,NJ,United States,us
Cusamano House,"3 Vale Pl Caldwell, NJ 07006",12,40.86775686,-74.2464552,"3 Vale Place, North Caldwell, NJ 07006, United States of America",,3,,Vale Place,7006,,North Caldwell,Essex County,New Jersey,NJ,United States,us
Funeral Home,"276 Washington Ave, Belleville, NJ 07109",12,40.790362,-74.151394,"276 Washington Avenue, Belleville, NJ 07109, United States of America",,276,,Washington Avenue,7109,Belleville Township,Belleville,Essex County,New Jersey,NJ,United States,us
Soprano House,"14 Aspen Dr, Caldwell, NJ 07006",12,40.867817,-74.246482,"14 Aspen Drive, North Caldwell, NJ 07006, United States of America",,14,,Aspen Drive,7006,,North Caldwell,Essex County,New Jersey,NJ,United States,us
Cusamano House,"3 Vale Pl Caldwell, NJ 07006",12,40.86775686,-74.2464552,"3 Vale Place, North Caldwell, NJ 07006, United States of America",,3,,Vale Place,7006,,North Caldwell,Essex County,New Jersey,NJ,United States,us
Soprano House,"14 Aspen Dr, Caldwell, NJ 07006",12,40.867817,-74.246482,"14 Aspen Drive, North Caldwell, NJ 07006, United States of America",,14,,Aspen Drive,7006,,North Caldwell,Essex County,New Jersey,NJ,United States,us
Soprano House,"14 Aspen Dr, Caldwell, NJ 07006",12,40.867817,-74.246482,"14 Aspen Drive, North Caldwell, NJ 07006, United States of America",,14,,Aspen Drive,7006,,North Caldwell,Essex County,New Jersey,NJ,United States,us
Cusamano House,"3 Vale Pl Caldwell, NJ 07006",12,40.86775686,-74.2464552,"3 Vale Place, North Caldwell, NJ 07006, United States of America",,3,,Vale Place,7006,,North Caldwell,Essex County,New Jersey,NJ,United States,us
Soprano House,"14 Aspen Dr, Caldwell, NJ 07006",12,40.867817,-74.246482,"14 Aspen Drive, North Caldwell, NJ 07006, United States of America",,14,,Aspen Drive,7006,,North Caldwell,Essex County,New Jersey,NJ,United States,us
Cusamano House,"3 Vale Pl Caldwell, NJ 07006",12,40.86775686,-74.2464552,"3 Vale Place, North Caldwell, NJ 07006, United States of America",,3,,Vale Place,7006,,North Caldwell,Essex County,New Jersey,NJ,United States,us
Green Grove,"103 Pleasant Valley Way, West Orange, NJ 07052",12,40.82089436,-74.25283885,"103 Pleasant Valley Way, West Orange, NJ 07052, United States of America",,103,,Pleasant Valley Way,7052,,West Orange,Essex County,New Jersey,NJ,United States,us
Green Grove,"103 Pleasant Valley Way, West Orange, NJ 07052",12,40.82089436,-74.25283885,"103 Pleasant Valley Way, West Orange, NJ 07052, United States of America",,103,,Pleasant Valley Way,7052,,West Orange,Essex County,New Jersey,NJ,United States,us
Soprano House,"14 Aspen Dr, Caldwell, NJ 07006",12,40.867817,-74.246482,"14 Aspen Drive, North Caldwell, NJ 07006, United States of America",,14,,Aspen Drive,7006,,North Caldwell,Essex County,New Jersey,NJ,United States,us
Satriale's,"101 Kearny Avenue, Kearny, NJ 07032",13,40.755731,-74.155322,"101 Kearny Avenue, Kearny, NJ 07032, United States of America",,101,,Kearny Avenue,7032,,Kearny,Hudson County,New Jersey,NJ,United States,us
Soprano House,"14 Aspen Dr, Caldwell, NJ 07006",13,40.867817,-74.246482,"14 Aspen Drive, North Caldwell, NJ 07006, United States of America",,14,,Aspen Drive,7006,,North Caldwell,Essex County,New Jersey,NJ,United States,us
The Bada Bing,"230 NJ-17, Lodi, NJ 07644",13,40.881841,-74.066683,"230 Nj-17, Lodi, NJ 07644, United States of America",,230,,Nj-17,7644,Lodi,Lodi,Bergen County,New Jersey,NJ,United States,us
Soprano House,"14 Aspen Dr, Caldwell, NJ 07006",13,40.867817,-74.246482,"14 Aspen Drive, North Caldwell, NJ 07006, United States of America",,14,,Aspen Drive,7006,,North Caldwell,Essex County,New Jersey,NJ,United States,us
Satriale's,"101 Kearny Avenue, Kearny, NJ 07032",13,40.755731,-74.155322,"101 Kearny Avenue, Kearny, NJ 07032, United States of America",,101,,Kearny Avenue,7032,,Kearny,Hudson County,New Jersey,NJ,United States,us
Soprano House,"14 Aspen Dr, Caldwell, NJ 07006",13,40.867817,-74.246482,"14 Aspen Drive, North Caldwell, NJ 07006, United States of America",,14,,Aspen Drive,7006,,North Caldwell,Essex County,New Jersey,NJ,United States,us
Church,"St. Rita's Roman Catholic Church, Long Island City, NY",13,40.760621,-73.939485,"Saint Rita's Roman Catholic Church, New York, NY, United States of America",,,Long Island City,Saint Rita's Roman Catholic Church,,Queens,New York,Queens County,New York,NY,United States,us
Church,"St. Rita's Roman Catholic Church, Long Island City, NY",13,40.760621,-73.939485,"Saint Rita's Roman Catholic Church, New York, NY, United States of America",,,Long Island City,Saint Rita's Roman Catholic Church,,Queens,New York,Queens County,New York,NY,United States,us
Green Grove,"103 Pleasant Valley Way, West Orange, NJ 07052",13,40.82089436,-74.25283885,"103 Pleasant Valley Way, West Orange, NJ 07052, United States of America",,103,,Pleasant Valley Way,7052,,West Orange,Essex County,New Jersey,NJ,United States,us
Nuovo Vesuvio,"4115 34th Ave (41st St) Long Island City, NY 11101",13,40.760213,-73.928695,"34-01 34th Avenue, New York, NY 11106, United States of America",,34-01,Long Island City,34th Avenue,11106,Queens,New York,Queens County,New York,NY,United States,us
